SensorId, TimeStamp (s), FrameNumber, AccX (g), AccY (g), AccZ (g), GyroX (deg/s), GyroY (deg/s), GyroZ (deg/s), MagX (uT), MagY (uT), MagZ (uT), EulerX (deg), EulerY (deg), EulerZ (deg), QuatW, QuatX, QuatY, QuatZ, LinAccX (g), LinAccY (g), LinAccZ (g), Pressure (kPa), Altitude (m), Temperature (degC), HeaveMotion (m),Rep,Clase2
1,0.11,11,0.06810134,-1.0060252,0.02024108,0.21891609,-0.30974427,0.0756167,-42.79450226,3.04004669,-109.6463013,-3.09406209,-5.10034037,6.50798607,0.99710357,0.0244026,0.04593715,-0.05548617,0.00359681,0.00080384,0.00829424,0,0,0,0,1,2
2,0.11,11,0.0827492,-0.99632221,-0.02214351,-0.09584253,-0.11855329,0.57093328,-50.3946228,-16.07716942,-87.13825989,-1.07101405,2.29196453,12.96455479,0.99334365,0.01154241,-0.01881615,-0.11305407,-0.00004988,-0.00398823,-0.00008666,0,0,0,0,1,2
4,0.11,11,-0.0786107,-0.99457103,-0.06243648,0.95447642,-0.9551928,0.37606329,-28.32505035,18.32797432,-100.9061661,-0.12221359,-0.25231108,-0.43017179,0.99998999,0.00107477,0.00219781,0.00375628,0.00484149,-0.00015007,-0.00040848,0,0,0,0,1,2
1,0.12,12,0.06928655,-1.00578928,0.02082599,-0.2844913,-0.03738312,-0.17003669,-42.47296143,2.89389062,-110.1139984,-3.05709481,-5.10494232,6.50281715,0.99711227,0.02408069,0.0459582,-0.05545484,0.00238386,0.00125742,0.00828558,0,0,0,0,1,2
2,0.12,12,0.08428633,-0.99661136,-0.01960719,0.064126,-0.41118604,0.47837296,-50.48231506,-16.66179466,-86.64133453,-1.07072031,2.28710556,12.96049976,0.99334854,0.01153442,-0.01877473,-0.11301857,-0.00166322,-0.00145036,0.00026565,0,0,0,0,1,2
4,0.12,12,-0.07984766,-0.99375528,-0.06037735,0.70730776,-0.99030221,0.37434748,-29.20198822,18.32797432,-101.1400147,-0.11445621,-0.25666693,-0.4393132,0.99998963,0.0010074,0.00223599,0.00383595,0.00606214,0.00169661,-0.00125888,0,0,0,0,1,2
1,0.13,13,0.07114106,-1.00270009,0.02297019,-0.12279049,-0.08763811,-0.15581053,-42.47296143,2.89389062,-110.1139984,-3.0583818,-5.10335636,6.5021739,0.99711281,0.02409294,0.04594489,-0.05544913,0.00003836,0.00314273,0.00567114,0,0,0,0,1,2
2,0.13,13,0.08076999,-0.99709451,-0.01438732,0.09945223,-0.70529568,0.50948173,-50.74539566,-16.25255775,-86.55363464,-1.00666356,2.24907589,12.96295929,0.99335927,0.01094215,-0.01850799,-0.11302722,0.00163822,0.00348263,0.00058634,0,0,0,0,1,2
4,0.13,13,-0.08001981,-0.99356729,-0.0587132,0.49392962,-0.7649349,0.30714428,-29.20198822,18.62028694,-101.1400147,-0.10898136,-0.26021057,-0.44639143,0.99998939,0.00095988,0.00226704,0.00389764,0.00618522,0.0032464,-0.00153408,0,0,0,0,1,2
1,0.14,14,0.07147537,-1.00235832,0.02270377,0.26994979,-0.04840492,-0.03626017,-42.50219345,2.54311609,-109.9093857,-3.05571818,-5.10300732,6.5012722,0.99711394,0.0240703,0.04594037,-0.05544244,-0.00033806,0.00287542,0.00536622,0,0,0,0,1,2
2,0.14,14,0.08042963,-0.99593353,-0.00982055,-0.02533544,-0.65393573,0.58134216,-50.74539566,-16.25255775,-86.55363464,-1.0074563,2.24315095,12.95653248,0.99336666,0.01094216,-0.01845646,-0.11297131,0.0013978,0.00722148,-0.00062181,0,0,0,0,1,2
4,0.14,14,-0.07950164,-0.99368739,-0.05871416,0.26290438,-0.66072965,0.22066334,-28.1204319,17.80181122,-100.6723175,-0.06951576,-0.32438999,-0.45832735,0.9999879,0.00061795,0.00282838,0.00400135,0.00533989,0.00301242,-0.00144918,0,0,0,0,1,2
1,0.15,15,0.07290291,-1.00517166,0.02245848,0.16412663,-0.18867789,-0.00601278,-42.38526535,2.80619693,-109.9386139,-3.05420804,-5.10292339,6.49914026,0.99711537,0.02405806,0.04593847,-0.05542452,-0.00129901,0.00238997,0.00834341,0,0,0,0,1,2
2,0.15,15,0.07651143,-0.9954437,-0.01264807,-0.02476818,-0.3084431,0.55045205,-50.59923935,-16.39871407,-86.46594238,-1.00794864,2.23759556,12.9535532,0.99337047,0.01094049,-0.0184081,-0.11294523,0.00519515,0.00440768,-0.00128364,0,0,0,0,1,2
4,0.15,15,-0.07734161,-0.99642038,-0.05983592,-0.17979823,-0.55705816,0.15053801,-28.58813095,17.53873062,-100.8769379,-0.07091387,-0.32623696,-0.46390602,0.9999876,0.00063036,0.00284442,0.00405008,0.00215127,0.00158287,0.00119332,0,0,0,0,1,2
